TIME,AMPLITUDE
12384,-0.996378125
12386,-0.40856927
12388,0.600386491
12390,0.990458678
12392,0.359089857
12394,-0.64280393
12396,-0.981452783
12398,-0.307119808
12400,0.68431504
12402,0.969186842
12404,0.252918282
12406,-0.724709682
12408,-0.953421788
12410,-0.196500594
12412,0.763745695
12414,0.934024073
12416,0.137905001
12418,-0.800974556
12420,-0.910797867
12422,-0.07748416
12424,0.836179838
12426,0.883543014
12428,0.015243344
12430,-0.868903092
12432,-0.852209067
12434,0.048397355
12436,0.898884621
12438,0.816589908
12440,-0.113366208
12442,-0.925667108
12444,-0.776707336
12446,0.179174067
12448,0.948924958
12450,0.732393211
12452,-0.245583318
12454,-0.968306943
12456,-0.68375556
12458,0.312315893
12460,0.98338511
12462,0.630754836
12464,-0.378782702
12466,-0.993832774
12468,-0.573375718
12470,0.444723342
12472,0.999264747
12474,0.511880714
12476,-0.509490269
12478,-0.999357214
12480,-0.446268359
12482,0.572668566
12484,0.993779503
12486,0.376918609
12488,-0.633800206
12490,-0.982252741
12492,-0.304016012
12494,0.692174543
12496,0.964488574
12498,0.227792033
12500,-0.747355465
12502,-0.940310461
12504,-0.148816541
12506,0.798614995
12508,0.909526967
12510,0.067348264
12512,-0.84541731
12514,-0.871970829
12516,0.015914379
12518,0.887197677
12520,0.82766859
12522,-0.100497549
12524,-0.923254587
12526,-0.776526142
12528,0.185866749
12530,0.953074124
12532,0.718737174
12534,-0.27114516
12536,-0.976016212
12538,-0.654406115
12540,0.35577687
12542,0.991573687
12544,0.583697954
12546,-0.438788549
12548,-0.999246253
12550,-0.507095886
12552,0.519437917
12554,0.998564215
12556,0.424866473
12558,-0.596930708
12560,-0.989134266
12562,-0.337702153
12564,0.670208123
12566,0.970656979
12568,0.246140903
12570,-0.73843494
12572,-0.942892983
12574,-0.150807169
12576,0.800744899
12578,0.905662949
12580,0.052706157
12582,-0.856097783
12584,-0.859007457
12586,0.047343952
12588,0.90370215
12590,0.802979025
12592,-0.148437305
12594,-0.942605215
12596,-0.737723379
12598,0.249299011
12600,0.972046703
12602,0.663707597
12604,-0.34895782
12606,-0.991298244
12608,-0.581360141
12610,0.446010948
12612,0.999669923
12614,0.491228916
12616,-0.539283659
12618,-0.996634314
12620,-0.394256381
12622,0.627550442
12624,0.981745699
12626,0.291201999
12628,-0.709340408
12630,-0.954742804
12632,-0.183322643
12634,0.783425799
12636,0.915487295
12638,0.071747776
12640,-0.848577178
12642,-0.863972856
12644,0.04226775
12646,0.903455704
12648,0.800515124
12650,-0.15705941
12652,-0.946971212
12654,-0.725435964
12656,0.27114516
12658,0.978098405
12660,0.639493056
12662,-0.382949144
12664,-0.995872495
12666,-0.543475297
12668,0.4905607
12670,0.99956969
12672,0.438357742
12674,-0.592305726
12676,-0.988606533
12678,-0.325582256
12680,0.68647922
12682,0.96264238
12684,0.206548572
12686,-0.771182608
12688,-0.921551267
12690,-0.082835809
12692,0.844802269
12694,0.865417565
12696,-0.043512962
12698,-0.905784863
12700,-0.794732585
12702,0.170584027
12704,0.952579441
12706,0.710150877
12708,-0.296334029
12710,-0.983954524
12712,-0.61258277
12714,0.418346271
12716,0.998846648
12718,0.503455549
12720,-0.534430504
12722,-0.996418773
12724,-0.384277227
12726,0.64236317
12728,0.976162093
12730,0.256812004
12732,-0.739726583
12734,-0.937839106
12736,-0.123362147
12738,0.824426552
12740,0.881649951
12742,-0.013805389
12744,-0.894428048
12746,-0.808091802
12748,0.152228672
12750,0.947922015
12752,0.718003522
12754,-0.288999979
12756,-0.983245588
12758,-0.612810082
12760,0.421391744
12762,0.999158224
12764,0.49414896
12766,-0.546610167
12768,-0.994723121
12770,-0.364095498
12772,0.661625361
12774,0.969422559
12776,0.224990497
